YR,MONTH,HPI,STATE
1993,DEC,78.68,AK
1994,JAN,78.89,AK
1994,FEB,79.45,AK
1994,MAR,80.24,AK
1994,ARP,81,AK
1994,MAY,81.61,AK
1994,JUN,82.13,AK
1994,JUL,82.5,AK
1994,AUG,82.44,AK
1994,SEP,82.11,AK
1994,OCT,81.83,AK
1994,NOV,81.83,AK
1994,DEC,82.12,AK
1995,JAN,82.59,AK
1995,FEB,83.09,AK
1995,MAR,83.56,AK
1995,ARP,84.05,AK
1995,MAY,84.47,AK
1995,JUN,84.8,AK
1995,JUL,85.03,AK
1995,AUG,85.09,AK
1995,SEP,85,AK
1995,OCT,84.86,AK
1995,NOV,84.8,AK
1995,DEC,84.9,AK
1996,JAN,85.15,AK
1996,FEB,85.55,AK
1996,MAR,86.12,AK
1996,ARP,86.77,AK
1996,MAY,87.41,AK
1996,JUN,87.93,AK
1996,JUL,88.24,AK
1996,AUG,88.28,AK
1996,SEP,88.17,AK
1996,OCT,88.1,AK
1996,NOV,88.14,AK
1996,DEC,88.27,AK
1997,JAN,88.53,AK
1997,FEB,88.96,AK
1997,MAR,89.47,AK
1997,ARP,89.97,AK
1997,MAY,90.34,AK
1997,JUN,90.51,AK
1997,JUL,90.56,AK
1997,AUG,90.7,AK
1997,SEP,91.01,AK
1997,OCT,91.33,AK
1997,NOV,91.5,AK
1997,DEC,91.49,AK
1998,JAN,91.45,AK
1998,FEB,91.6,AK
1998,MAR,92.03,AK
1998,ARP,92.72,AK
1998,MAY,93.48,AK
1998,JUN,94.05,AK
1998,JUL,94.27,AK
1998,AUG,94.18,AK
1998,SEP,93.95,AK
1998,OCT,93.75,AK
1998,NOV,93.6,AK
1998,DEC,93.44,AK
1999,JAN,93.38,AK
1999,FEB,93.62,AK
1999,MAR,94.25,AK
1999,ARP,95.15,AK
1999,MAY,95.91,AK
1999,JUN,96.38,AK
1999,JUL,96.73,AK
1999,AUG,96.99,AK
1999,SEP,96.99,AK
1999,OCT,96.73,AK
1999,NOV,96.43,AK
1999,DEC,96.28,AK
2000,JAN,96.28,AK
2000,FEB,96.41,AK
2000,MAR,96.8,AK
2000,ARP,97.37,AK
2000,MAY,98,AK
2000,JUN,98.54,AK
2000,JUL,98.88,AK
2000,AUG,99.09,AK
2000,SEP,99.29,AK
2000,OCT,99.51,AK
2000,NOV,99.73,AK
2000,DEC,100,AK
2001,JAN,100.37,AK
2001,FEB,100.82,AK
2001,MAR,101.4,AK
2001,ARP,102.15,AK
2001,MAY,102.99,AK
2001,JUN,103.9,AK
2001,JUL,104.83,AK
2001,AUG,105.64,AK
2001,SEP,106.14,AK
2001,OCT,106.2,AK
2001,NOV,106.08,AK
2001,DEC,106.18,AK
2002,JAN,106.55,AK
2002,FEB,107.15,AK
2002,MAR,108.01,AK
2002,ARP,109.08,AK
2002,MAY,110.13,AK
2002,JUN,110.93,AK
2002,JUL,111.51,AK
2002,AUG,111.84,AK
2002,SEP,111.93,AK
2002,OCT,111.99,AK
2002,NOV,112.22,AK
2002,DEC,112.71,AK
2003,JAN,113.35,AK
2003,FEB,114.17,AK
2003,MAR,115.11,AK
2003,ARP,116.07,AK
2003,MAY,117.21,AK
2003,JUN,118.46,AK
2003,JUL,119.67,AK
2003,AUG,120.67,AK
2003,SEP,121.13,AK
2003,OCT,121.13,AK
2003,NOV,121.19,AK
2003,DEC,121.57,AK
2004,JAN,122.25,AK
2004,FEB,123.11,AK
2004,MAR,124.19,AK
2004,ARP,125.65,AK
2004,MAY,127.43,AK
2004,JUN,129.2,AK
2004,JUL,130.72,AK
2004,AUG,131.75,AK
2004,SEP,132.23,AK
2004,OCT,132.53,AK
2004,NOV,133.06,AK
2004,DEC,133.84,AK
2005,JAN,134.77,AK
2005,FEB,135.94,AK
2005,MAR,137.46,AK
2005,ARP,139.19,AK
2005,MAY,140.92,AK
2005,JUN,142.8,AK
2005,JUL,144.83,AK
2005,AUG,146.58,AK
2005,SEP,147.74,AK
2005,OCT,148.34,AK
2005,NOV,148.51,AK
2005,DEC,148.65,AK
2006,JAN,149.23,AK
2006,FEB,150.32,AK
2006,MAR,151.83,AK
2006,ARP,153.57,AK
2006,MAY,155.16,AK
2006,JUN,156.49,AK
2006,JUL,157.41,AK
2006,AUG,157.55,AK
2006,SEP,156.99,AK
2006,OCT,156.22,AK
2006,NOV,155.68,AK
2006,DEC,155.36,AK
2007,JAN,155.44,AK
2007,FEB,156.13,AK
2007,MAR,157.23,AK
2007,ARP,158.52,AK
2007,MAY,159.83,AK
2007,JUN,160.85,AK
2007,JUL,161.29,AK
2007,AUG,161.1,AK
2007,SEP,160.3,AK
2007,OCT,158.91,AK
2007,NOV,157.12,AK
2007,DEC,155.33,AK
2008,JAN,154.14,AK
2008,FEB,153.9,AK
2008,MAR,154.47,AK
2008,ARP,155.64,AK
2008,MAY,157.07,AK
2008,JUN,158.26,AK
2008,JUL,158.82,AK
2008,AUG,158.56,AK
2008,SEP,157.66,AK
2008,OCT,156.43,AK
2008,NOV,155.05,AK
2008,DEC,153.83,AK
2009,JAN,153.21,AK
2009,FEB,153.26,AK
2009,MAR,153.74,AK
2009,ARP,154.54,AK
2009,MAY,155.45,AK
2009,JUN,156.12,AK
2009,JUL,156.24,AK
2009,AUG,155.86,AK
2009,SEP,155.21,AK
2009,OCT,154.38,AK
2009,NOV,153.54,AK
2009,DEC,152.79,AK
2010,JAN,152.42,AK
2010,FEB,152.72,AK
2010,MAR,153.56,AK
2010,ARP,154.7,AK
2010,MAY,155.75,AK
2010,JUN,156.34,AK
2010,JUL,156.37,AK
2010,AUG,155.95,AK
2010,SEP,155.44,AK
2010,OCT,155.19,AK
2010,NOV,155.19,AK
2010,DEC,155.32,AK
2011,JAN,155.5,AK
2011,FEB,155.69,AK
2011,MAR,156.05,AK
2011,ARP,156.65,AK
2011,MAY,157.28,AK
2011,JUN,157.53,AK
2011,JUL,157.22,AK
2011,AUG,156.58,AK
2011,SEP,155.76,AK
2011,OCT,154.78,AK
2011,NOV,153.81,AK
2011,DEC,153.06,AK
2012,JAN,152.64,AK
2012,FEB,152.76,AK
2012,MAR,153.68,AK
2012,ARP,155.39,AK
2012,MAY,157.4,AK
2012,JUN,159.07,AK
2012,JUL,159.89,AK
2012,AUG,159.79,AK
2012,SEP,159.34,AK
2012,OCT,158.99,AK
2012,NOV,158.72,AK
2012,DEC,158.48,AK
2013,JAN,158.42,AK
2013,FEB,158.76,AK
2013,MAR,159.83,AK
2013,ARP,161.63,AK
2013,MAY,163.58,AK
2013,JUN,164.97,AK
2013,JUL,165.5,AK
2013,AUG,165.35,AK
2013,SEP,164.79,AK
2013,OCT,164.15,AK
2013,NOV,163.67,AK
2013,DEC,163.43,AK
2014,JAN,163.49,AK
2014,FEB,164.13,AK
2014,MAR,165.39,AK
2014,ARP,166.81,AK
2014,MAY,168.13,AK
2014,JUN,169.22,AK
2014,JUL,169.89,AK
2014,AUG,170.01,AK
2014,SEP,169.57,AK
2014,OCT,168.77,AK
2014,NOV,167.9,AK
2014,DEC,167.33,AK
2015,JAN,167.27,AK
2015,FEB,167.75,AK
2015,MAR,168.85,AK
2015,ARP,170.51,AK
2015,MAY,172.41,AK
2015,JUN,174.07,AK
2015,JUL,175.09,AK
2015,AUG,175.51,AK
2015,SEP,175.48,AK
2015,OCT,175.12,AK
2015,NOV,174.85,AK
2015,DEC,174.69,AK
2016,JAN,174.56,AK
2016,FEB,174.65,AK
2016,MAR,175.15,AK
2016,ARP,176.04,AK
2016,MAY,177.02,AK
2016,JUN,177.49,AK
2016,JUL,177.19,AK
2016,AUG,176.37,AK
2016,SEP,175.46,AK
2016,OCT,174.85,AK
2016,NOV,174.61,AK
2016,DEC,174.61,AK
2017,JAN,174.85,AK
2017,FEB,175.52,AK
2017,MAR,176.55,AK
2017,ARP,177.79,AK
2017,MAY,179,AK
2017,JUN,179.91,AK
2017,JUL,180.47,AK
2017,AUG,180.77,AK
2017,SEP,180.86,AK
2017,OCT,180.64,AK
2017,NOV,180.19,AK
2017,DEC,180.14,AK
1975,JAN,35.7,AL
1975,FEB,35.9,AL
1975,MAR,36.13,AL
1975,ARP,36.43,AL
1975,MAY,36.7,AL
1975,JUN,36.82,AL
1975,JUL,36.75,AL
1975,AUG,36.51,AL
1975,SEP,36.26,AL
1975,OCT,36.14,AL
1975,NOV,36.25,AL
1975,DEC,36.59,AL
1976,JAN,37.14,AL
1976,FEB,37.76,AL
1976,MAR,38.28,AL
1976,ARP,38.6,AL
1976,MAY,38.74,AL
1976,JUN,38.8,AL
1976,JUL,38.86,AL
1976,AUG,38.92,AL
1976,SEP,38.96,AL
1976,OCT,39.02,AL
1976,NOV,39.16,AL
1976,DEC,39.32,AL
1977,JAN,39.39,AL
1977,FEB,39.42,AL
1977,MAR,39.45,AL
1977,ARP,39.61,AL
1977,MAY,39.92,AL
1977,JUN,40.34,AL
1977,JUL,40.85,AL
1977,AUG,41.38,AL
1977,SEP,41.88,AL
1977,OCT,42.33,AL
1977,NOV,42.66,AL
1977,DEC,42.78,AL
1978,JAN,42.78,AL
1978,FEB,42.8,AL
1978,MAR,42.98,AL
1978,ARP,43.4,AL
1978,MAY,43.95,AL
1978,JUN,44.5,AL
1978,JUL,45.13,AL
1978,AUG,45.81,AL
1978,SEP,46.38,AL
1978,OCT,46.75,AL
1978,NOV,47,AL
1978,DEC,47.22,AL
1979,JAN,47.44,AL
1979,FEB,47.67,AL
1979,MAR,47.96,AL
1979,ARP,48.32,AL
1979,MAY,48.76,AL
1979,JUN,49.2,AL
1979,JUL,49.59,AL
1979,AUG,49.92,AL
1979,SEP,50.2,AL
1979,OCT,50.38,AL
1979,NOV,50.47,AL
1979,DEC,50.51,AL
1980,JAN,50.54,AL
1980,FEB,50.62,AL
1980,MAR,50.72,AL
1980,ARP,50.79,AL
1980,MAY,50.86,AL
1980,JUN,51.14,AL
1980,JUL,51.68,AL
1980,AUG,52.32,AL
1980,SEP,52.77,AL
1980,OCT,52.8,AL
1980,NOV,52.43,AL
1980,DEC,51.82,AL
1981,JAN,51.16,AL
1981,FEB,50.68,AL
1981,MAR,50.54,AL
1981,ARP,50.8,AL
1981,MAY,51.36,AL
1981,JUN,52.05,AL
1981,JUL,52.7,AL
1981,AUG,53.18,AL
1981,SEP,53.38,AL
1981,OCT,53.23,AL
1981,NOV,52.85,AL
1981,DEC,52.42,AL
1982,JAN,52.19,AL
1982,FEB,52.25,AL
1982,MAR,52.48,AL
1982,ARP,52.72,AL
1982,MAY,52.94,AL
1982,JUN,53.14,AL
1982,JUL,53.31,AL
1982,AUG,53.37,AL
1982,SEP,53.38,AL
1982,OCT,53.47,AL
1982,NOV,53.66,AL
1982,DEC,53.85,AL
1983,JAN,54,AL
1983,FEB,54.13,AL
1983,MAR,54.27,AL
1983,ARP,54.46,AL
1983,MAY,54.75,AL
1983,JUN,55.12,AL
1983,JUL,55.55,AL
1983,AUG,55.95,AL
1983,SEP,56.24,AL
1983,OCT,56.48,AL
1983,NOV,56.8,AL
1983,DEC,57.24,AL
1984,JAN,57.69,AL
1984,FEB,58.04,AL
1984,MAR,58.31,AL
1984,ARP,58.61,AL
